Cod_IBGE,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,UF,Município,Data Resultado Compra,Data Abertura,Valor Licitação
3304557.0,902019,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,90/2019,"Objeto: Artigos de Papelaria (Quadro branco em MDF 9 mm sobreposto de um laminado com moldura de alumínio 3,00 X 1,20 m, Papel filicolor 180 gr A4 laranja, Papel 120 gr A4 vermelho, Papel 120 gr A4 azul celeste, Papel 120 gr A4 branco e giz antialergico br cx c 60 unid aprox)",Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2019-07-24,4789.0
3304557.0,902020,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,C-5-50086/2020,Objeto: Aquisição de Toner,Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2020-11-18,324.91
2403251.0,902023,120631,BASE AEREA DE NATAL,9999,Pregão - Registro de Preço,67202000000000000,Objeto: Pregão Eletrônico - Aquisição de Concreto Betuminoso Usinado a Quente (CBUQ) para a obra de Recuperação dos Pavimentos da Pista de SBNT. PAG: 67202.004602/2023-35,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,RN,PARNAMIRIM,2024-01-08,2024-01-04,0.0
2800308.0,902023,155017,HOSPITAL UNIVERSITARIO DA UFS,9999,Pregão - Registro de Preço,23530000000000000,"Objeto: Pregão Eletrônico - Este Termo de Referência tem por objeto o Registro de Preços para eventual aquisição de MATERIAIS QUÍMICOS E LABORATORIAIS por meio de Sistema de Registro de Preços, pelo prazo de 12 meses, objetivando viabilizar o reabastecimento dos referidos produtos na Unidade de Almoxarifado e Produtos para Saúde (UAPS) e atender a demanda do Setor de Apoio Diagnóstico (Laboratório de Análises Clínicas e Anatomia Patológica).",Evento de Resultado de Julgame,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SE,ARACAJU,2024-01-05,2023-12-11,25.0
5103403.0,902023,155019,HOSPITAL UNIVERSITARIO JULIO MULLER,9999,Pregão - Registro de Preço,23532000000000000,"Objeto: Pregão Eletrônico - Registro de preços para futura e eventual aquisição de medicamentos que atuam no sangue, órgãos hematopoiéticos, aparelho respiratório, aparelho geniturinário, medicamentos oftalmológicos e outros.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,MT,CUIABA,2024-01-16,2023-11-30,0.0
3143302.0,902023,195005,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,9999,Pregão - Registro de Preço,59510000000000000,"Objeto: Pregão Eletrônico - Constituição de Sistema de Registro de Preços  SRP para o fornecimento, transporte, carga e descarga de barcos e motores para estruturação de APL s, destinados ao atendimento de instituições de pescadores e municípios, na área de atuação da 1ª Superintendência Regional da Codevasf, no estado de Minas Gerais",Evento de Resultado de Julgame,53000,Ministério da Integração e do Desenvolvime,22203,Companhia de Desenvolvimento dos Vales do Sã,MG,MONTES CLAROS,2024-01-17,2023-12-19,48060.0
3304557.0,902023,250059,INSTITUTO NACIONAL DE CARDIOLOGIA,5,Pregão,33409000000000000,"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços de suporte técnico, manutenção preventiva, programada e corretiva do Datacenter (Sala-Cofre) do Instituto Nacional de Cardiologia",Evento de Resultado de Julgame,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo,RJ,RIO DE JANEIRO,2024-01-12,2023-11-17,226860.0
3550308.0,902023,742050,CENTRO DE INTENDENCIA TECNOLOGICO DA MARINHA,5,Pregão,63229000000000000,Objeto: Pregão Eletrônico - Aquisição e instalação de 05 câmaras frias a ser montada e instalada.,Publicado,52000,Ministério da Defesa,52131,Comando da Marinha,SP,SAO PAULO,2024-01-08,2023-12-12,140000.0
2611606.0,912023,120632,GRUPAMENTO DE APOIO DE RECIFE,9999,Pregão - Registro de Preço,67614000000000000,Objeto: Pregão Eletrônico - Registro de prec os para Contratac a o de servic os de calibrac a o e aferic a o de balanc as do Terceiro Centro Integrado de Defesa Ae rea (CINDACTA III) e Destacamentos Subordinados.,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PE,RECIFE,2024-01-02,2023-12-18,0.0
4204301.0,912023,135030,EMBRAPA/CNPSA,6,Dispensa de Licitação,21202.001854/2023,"Objeto: Aquisição de 20,00 m² blackout, varão de suporte, argola e 8,30 mt. de trilho, para instalação nas janelas da casinha da balança rodoviária da fabrica de rações",Encerrado,22000,Ministério da Agricultura e Pecuária,22202,Empresa Brasileira de Pesquisa Agropecuária,SC,CONCORDIA,2024-01-05,,1800.0
2800308.0,912023,155017,HOSPITAL UNIVERSITARIO DA UFS,9999,Pregão - Registro de Preço,23530000000000000,"Objeto: Pregão Eletrônico - Este Termo de Referência tem por objeto o Registro de Preços para eventual Aquisição de contrastes radiológicos, medicamentos oftalmológicos e diversos, a fim de atender as necessidades do Hospital Universitário de Sergipe, vinculado à Universidade Federal Sergipe, pertencente à Rede da Empresa Brasileira de Serviços Hospitalares  Ebserh, por um período de 12 (doze) meses, conforme especificações e demais condições estabelecidas neste instrumento.",Evento de Resultado de Julgame,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SE,ARACAJU,2024-01-31,2024-01-11,161113.2
5103403.0,912023,155019,HOSPITAL UNIVERSITARIO JULIO MULLER,9999,Pregão - Registro de Preço,23532000000000000,"Objeto: Pregão Eletrônico - O objeto da presente Licitação é a escolha da proposta mais vantajosa para a aquisição de INSUMOS PARA O SERVIÇO DE OFTALMOLOGIA - Itens Frustrados no PE 39/2023 - conforme condições, quantidades e exigências estabelecidas neste instrumento e especificações detalhadas no Relatório de Materiais Licitados, mediante Registro de Preços com validade de 12 (doze) meses, de acordo com Estudo Técnico Preliminar (ETP) realizado pela Equipe de Planejamento da Contratação (EPC).",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,MT,CUIABA,2024-01-19,2023-12-05,0.0
1501402.0,912023,155909,COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB),9999,Pregão - Registro de Preço,23768000000000000,"Objeto: Pregão Eletrônico - Aquisição de Materiais de Expediente, de acordo com os quantitativos e especificações constantes no termo de referência, Anexo I.",Evento de Resultado de Julgame,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,PA,BELEM,2024-01-19,2023-10-18,0.0
3550308.0,912023,742050,CENTRO DE INTENDENCIA TECNOLOGICO DA MARINHA,9999,Pregão - Registro de Preço,63232000000000000,"Objeto: Pregão Eletrônico - Contratação dos serviços não contínuos de retirada, tratamento e disposição final de emulsão de óleo solúvel, para atender as necessidades do Departamento de Manutenção Nuclear, conforme condições, quantidades e exigências estabelecidas neste instrumento.",Publicado,52000,Ministério da Defesa,52131,Comando da Marinha,SP,SAO PAULO,2024-01-19,2024-01-04,18324.0
3304557.0,912023,765720,HOSPITAL NAVAL MARCILIO DIAS,9999,Pregão - Registro de Preço,63148000000000000,Objeto: Pregão Eletrônico - Aquisição de medicamentos do Programa de Medicamentos Especiais do Hospital Naval Marcílio Dias.,Evento de Alteração Publicad,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-17,2024-01-03,0.0
3304557.0,922019,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,RM 4571/2019,Objeto: Bicicleta Aro 26 Modelo Masculino,Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2019-07-25,689.98
3549904.0,922023,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,9999,Pregão - Registro de Preço,67720000000000000,Objeto: Pregão Eletrônico - Eventual aquisição de industrializados,Evento de Suspensão Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,SP,SAO JOSE DOS CAMPOS,2024-01-10,2023-09-21,0.0
4106902.0,922023,120072,SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,9999,Pregão - Registro de Preço,67613100000000000,"Objeto: Pregão Eletrônico - Registro de preços para aquisição de materiais de copa, cozinha, cama, mesa, banho e apoio a maternidade atender a demanda do Segundo Centro Integrado de Defesa Aérea e Controle de Tráfego Aéreo (CINDACTA II) e suas Organizações Militares apoiadas e subordinadas.",Evento de Suspensão Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PR,CURITIBA,2024-01-29,2023-11-10,0.0
3550308.0,922023,120633,GRUPAMENTO DE APOIO DE SAO PAULO,9999,Pregão - Registro de Preço,67438000000000000,Objeto: Pregão Eletrônico - Aquisic a o de material me dico-hospitalar (penso) para o Hospital de Forc a Ae rea de Sa o Paulo (HFASP),Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,SP,SAO PAULO,2024-01-30,2023-10-27,26623.14
4204301.0,922023,135030,EMBRAPA/CNPSA,6,Dispensa de Licitação,21202.001856/2023,Objeto: Conserto do caracol da F. Rações e bomba do distribuidor de dejetos liquido do CES,Encerrado,22000,Ministério da Agricultura e Pecuária,22202,Empresa Brasileira de Pesquisa Agropecuária,SC,CONCORDIA,2024-01-05,,5147.0
3304557.0,922023,153152,HOSPITAL UNIVERSITARIO DA UFRJ,9999,Pregão - Registro de Preço,23079200000000000,"Objeto: Pregão Eletrônico - P1 - Serviço de Farmácia - cardiotônicos, diuréticos, vasopressores e outros.",Evento de Resultado de Julgame,26000,Ministério da Educação,26245,Universidade Federal do Rio de Janeiro,RJ,RIO DE JANEIRO,2024-01-15,2023-11-08,1026132.2
3170107.0,922023,155011,HOSPITAL DE CLINICAS DA UFTM,9999,Pregão - Registro de Preço,23521000000000000,Objeto: Pregão Eletrônico - Aquisição de Nutrição Parenteral para atender a demanda da Unidade de Almoxarifado e Controle de Estoques do Hospital de Clínicas da Universidade Federal do Triangulo Mineiro (HC-UFTM) Filial EBSERH.,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,MG,UBERABA,2024-01-02,2023-12-20,96000.0
2408102.0,922023,155013,HOSPITAL UNIVERSITARIO ONOFRE LOPES,5,Pregão,23526000000000000,"Objeto: Pregão Eletrônico - Contratação de empresa especializada para a execução de serviços de coleta externa, transporte, tratamento e disposição final de Resíduos de Serviços de Saúdes dos grupos A e E (resíduos infectantes e perfurocortantes), do grupo B (resíduos químicos) e grupo D (resíduos comum) não recicláveis, gerados nas dependências do Hospital Universitário Onofre Lopes",Evento de Suspensão Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,RN,NATAL,2024-01-17,2023-12-12,177480.0
4314407.0,922023,155901,HOSPITAL ESCOLA DA UFPEL,9999,Pregão - Registro de Preço,23762000000000000,Objeto: Pregão Eletrônico - Aquisição novas padronizações - Medicamentos.,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,RS,PELOTAS,2024-01-15,2024-01-10,0.0
3304557.0,932019,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,C-2-20063/2019,Objeto: Aquisição de Lavadora Ultrassônica,Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2019-08-06,7747.45
2611606.0,932023,120632,GRUPAMENTO DE APOIO DE RECIFE,9999,Pregão - Registro de Preço,67230000000000000,"Objeto: Pregão Eletrônico - Registro de prec os para aquisic a o de material para manutenc a o de viaturas, ma quinas e equipamentos dotados de motor a combusta o, visando atender a s necessidades do Grupamento de Apoio de Recife (GAP-RF).",Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PE,RECIFE,2024-01-17,2023-12-13,37120.0
3303302.0,932023,150182,PRO-REITORIA DE ADMINISTRACAO/UFF,9999,Pregão - Registro de Preço,23069200000000000,"Objeto: Pregão Eletrônico - Construção do Sistema de Registro de Preços para eventual contratação de pessoa jurídica, para o fornecimento de forma futura ou entrega parcelada de EQUIPAMENTOS DE SEGURANÇA (NGFW, UTM), com suporte técnico e instalação de equipamentos, para complementação e atualização de solução tecnológica existente na UFF, bem como fornecimento de pontos de acesso WIFI, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.",Evento de Alteração de Resul,26000,Ministério da Educação,26236,Universidade Federal Fluminense,RJ,NITEROI,2024-01-12,2023-12-22,6645601.68
3304557.0,932023,153010,CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA,5,Pregão,23063000000000000,"Objeto: Pregão Eletrônico - Concessão Administrativa de Uso de Espaço Físico, a título oneroso, para empresa especializada na exploração de serviços de Cantina, voltada ao fornecimento de lanches e refeições, nas dependências do Campus Nova Iguaçu do CEFET/RJ, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.",Evento de Adiamento Publicado,26000,Ministério da Educação,26256,Centro Federal de Educação Tecnológica Cel,RJ,RIO DE JANEIRO,2024-01-31,2023-11-27,141.88
2408102.0,932023,155013,HOSPITAL UNIVERSITARIO ONOFRE LOPES,9999,Pregão - Registro de Preço,23526000000000000,Objeto: Pregão Eletrônico - Aquisição de equipamentos de climatização do tipo chiller 15 TR.,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,RN,NATAL,2024-01-03,2023-12-08,0.0
